stars,forks,watchers,contributors,days_since_push,has_readme,readme_word_count,readme_char_count,topics_count,language,license,readme_svd_0,readme_svd_1,readme_svd_2,readme_svd_3,readme_svd_4,readme_svd_5,readme_svd_6,readme_svd_7,readme_svd_8,readme_svd_9,readme_top_term
426893,41377,8588,0,171.35,0,0,0,10,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
415801,38976,6247,0,173.74,0,0,0,6,Markdown,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
396445,31414,8011,0,214.97,0,0,0,5,missing,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
366964,64025,9879,0,176.87,0,0,0,5,Python,Creative Commons Attribution 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
363505,38166,4360,0,274.08,0,0,0,10,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
335089,42672,6862,0,172.74,0,0,0,10,TypeScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
325933,80129,8498,0,174.13,0,0,0,10,missing,Creative Commons Attribution Share Alike 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
318206,52053,6792,0,273.28,0,0,0,10,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
274222,21062,4214,0,180.5,0,0,0,0,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
257619,26212,6125,0,216.06,0,0,0,6,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
244591,11318,2945,0,171.06,0,0,0,8,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
241922,31635,3405,0,552.52,0,0,0,8,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
238520,49230,6712,0,172.63,0,0,0,6,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
209322,33750,5811,0,496.44,0,0,0,4,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
205993,47652,5985,0,171.82,0,0,0,10,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
201105,57534,7780,0,170.8,0,0,0,0,C,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
193144,30861,4278,0,371.07,0,0,0,8,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
191404,74810,7453,0,170.69,0,0,0,8,C++,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
191299,23891,5909,0,178.96,0,0,0,4,HTML,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
184334,11441,2654,0,456.16,0,0,0,10,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
183119,33659,5857,0,274.15,0,0,0,10,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
181686,51168,5260,0,546.34,0,0,0,8,missing,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
181076,26186,2636,0,176.61,0,0,0,10,Shell,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
178166,45956,1552,0,170.77,0,0,0,7,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
176253,34692,3363,0,170.66,0,0,0,5,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
173297,79154,6692,0,172.8,0,0,0,7,MDX,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
172214,29108,3484,0,171.03,0,0,0,10,Dart,"BSD 3-Clause ""New"" or ""Revised"" License",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
171612,54458,6109,0,327.31,0,0,0,0,Jupyter Notebook,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
169029,83012,3378,0,174.93,0,0,0,2,missing,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
157971,14746,2824,0,602.99,0,0,0,6,missing,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156061,28953,1149,0,291.49,0,0,0,10,Python,GNU Affero General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151498,45982,4482,0,173.18,0,0,0,10,Java,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151319,12983,848,0,170.77,0,0,0,10,Go,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151260,12534,2826,0,173.66,0,0,0,6,Go,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
149008,30225,1165,0,171.03,0,0,0,10,Python,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
147332,26781,3722,0,436.46,0,0,0,10,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
146643,14245,1298,0,191.86,0,0,0,10,Batchfile,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
137121,10456,2179,0,290.25,0,0,0,0,Python,The Unlicense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
134126,29198,1483,0,170.74,0,0,0,10,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
134069,41949,803,0,170.66,0,0,0,10,TypeScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
133426,17721,1539,0,200.43,0,0,0,5,JavaScript,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129677,18362,3360,0,170.68,0,0,0,4,Go,"BSD 3-Clause ""New"" or ""Revised"" License",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129377,15732,2176,0,175.74,0,0,0,10,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129155,23419,2288,0,383.48,0,0,0,8,Markdown,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
127337,11931,1317,0,190.04,0,0,0,8,C,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
126844,10686,4052,0,174.71,0,0,0,4,Python,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
125169,12311,2594,0,174.31,0,0,0,10,JavaScript,Creative Commons Attribution 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
124809,9951,645,0,171.8,0,0,0,7,Python,The Unlicense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
123610,24827,3573,0,170.88,0,0,0,8,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122758,7320,1164,0,172.95,0,0,0,8,C#,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118112,16368,2807,0,170.97,0,0,0,9,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
117187,41266,3213,0,171.25,0,0,0,4,Go,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115965,14331,586,0,174.88,0,0,0,10,Java,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115104,28352,5876,0,583.38,0,0,0,10,missing,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
114546,18791,772,0,170.77,0,0,0,7,Jupyter Notebook,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
113027,32875,2970,0,170.9,0,0,0,9,JavaScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112653,17216,672,0,170.66,0,0,0,10,TypeScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111384,22837,3577,0,206.27,0,0,0,6,Shell,ISC License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111178,11436,1736,0,171.53,0,0,0,2,HTML,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109482,7459,437,0,170.73,0,0,0,6,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108489,14765,495,0,170.8,0,0,0,10,JavaScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108347,35987,2534,0,170.88,0,0,0,10,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107514,11192,1178,0,171.95,0,0,0,5,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106257,10707,467,0,170.85,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106165,13689,1471,0,170.68,0,0,0,4,Rust,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105775,12976,2158,0,170.69,0,0,0,4,TypeScript,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104060,5698,1404,0,170.68,0,0,0,4,Rust,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104035,10591,1959,0,308.84,0,0,0,10,Dockerfile,Creative Commons Attribution Share Alike 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103496,27074,1903,0,368.68,0,0,0,3,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101741,13251,2596,0,494.46,0,0,0,0,Java,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100762,23076,1496,0,173.03,0,0,0,7,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99807,8722,1342,0,172.68,0,0,0,10,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99082,16163,742,0,174.61,0,0,0,0,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98586,26555,2990,0,172.58,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98123,14398,1574,0,175.45,0,0,0,10,Go,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97699,6072,3168,0,289.97,0,0,0,7,Shell,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97051,9511,3925,0,396.67,0,0,0,9,missing,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96833,14210,540,0,172.15,0,0,0,10,Rust,GNU Affero General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96723,3932,1947,0,170.74,0,0,0,5,TypeScript,The Unlicense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96503,32645,1333,0,171.13,0,0,0,5,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96455,50445,833,0,173.84,0,0,0,10,Jupyter Notebook,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96111,3045,531,0,170.68,0,0,0,7,Rust,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95857,53417,242,0,170.66,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93946,6601,298,0,171.31,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93832,3757,836,0,579.12,0,0,0,2,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93756,12478,1748,0,569.44,0,0,0,7,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92955,10480,491,0,201.07,0,0,0,5,Dockerfile,The Unlicense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92812,25142,1789,0,170.66,0,0,0,8,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92601,27166,3731,0,182.15,0,0,0,8,Java,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92410,6294,982,0,170.66,0,0,0,7,Vim Script,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92224,9280,1189,0,171.62,0,0,0,9,TypeScript,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92140,1730,96,0,280.26,0,0,0,7,HTML,GNU Affero General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91669,13961,2709,0,172.77,0,0,0,8,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91005,11730,608,0,236.39,0,0,0,0,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89882,4705,618,0,171.83,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89831,30666,2185,0,482.27,0,0,0,10,Vue,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88987,7808,714,0,170.93,0,0,0,10,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88072,8071,1985,0,561.25,0,0,0,5,missing,Creative Commons Attribution 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87846,6718,1507,0,171.42,0,0,0,10,JavaScript,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87838,9679,595,0,170.66,0,0,0,10,TypeScript,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87628,9672,927,0,170.84,0,0,0,10,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87495,10835,673,0,184.12,0,0,0,0,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87082,9682,586,0,171.41,0,0,0,4,Python,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86677,9251,1036,0,229.82,0,0,0,10,Shell,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85901,13227,814,0,171.25,0,0,0,10,C#,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85861,12886,600,0,170.69,0,0,0,1,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85699,61058,454,0,172.12,0,0,0,10,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85286,37691,4047,0,173.78,0,0,0,5,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85062,9806,1857,0,551.34,0,0,0,9,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84843,32877,2281,0,171.48,0,0,0,9,Python,"BSD 3-Clause ""New"" or ""Revised"" License",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83967,4605,853,0,171.35,0,0,0,3,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83801,8308,1359,0,190.43,0,0,0,7,Go,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83760,56270,2637,0,173.32,0,0,0,5,C++,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83178,7992,1082,0,174.29,0,0,0,7,Go,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82549,7976,651,0,173.16,0,0,0,8,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82281,7508,1528,0,182.15,0,0,0,0,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82108,16164,2239,0,568.93,0,0,0,4,CSS,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81992,24452,4389,0,173.01,0,0,0,3,Blade,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81436,29428,2225,0,191.39,0,0,0,10,Java,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81000,34864,1341,0,170.82,0,0,0,8,Python,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80289,6861,930,0,249.09,0,0,0,4,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80139,3294,575,0,170.66,0,0,0,10,Zig,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80109,22406,1029,0,172.87,0,0,0,10,missing,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80018,3174,715,0,278.13,0,0,0,3,Clojure,SIL Open Font License 1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78266,41458,3345,0,173.36,0,0,0,4,Java,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78179,19252,2579,0,217.24,0,0,0,10,Java,Creative Commons Attribution Share Alike 4.0 International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78100,17520,1270,0,170.97,0,0,0,10,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77630,45499,2680,0,173.6,0,0,0,0,Python,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77114,7401,1287,0,173.82,0,0,0,5,missing,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76978,17316,1037,0,172.74,0,0,0,10,HTML,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76808,9155,1720,0,569.15,0,0,0,10,missing,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76585,8263,695,0,266.91,0,0,0,2,C++,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76565,4512,533,0,171.49,0,0,0,10,TypeScript,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76430,14020,2536,0,919.24,0,0,0,5,Java,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75766,14978,1598,0,649.43,0,0,0,0,Python,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75749,4742,1033,0,171.27,0,0,0,4,Go,Mozilla Public License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75696,6134,1354,0,170.73,0,0,0,10,C,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75648,8145,971,0,320.02,0,0,0,10,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75638,25824,291,0,171.72,0,0,0,6,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75607,12208,1347,0,180.92,0,0,0,7,JavaScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75005,7148,458,0,172.13,0,0,0,5,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74909,3817,1714,0,170.67,0,0,0,10,Rust,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74849,7208,1009,0,172.18,0,0,0,0,JavaScript,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74828,3951,251,0,170.74,0,0,0,10,TypeScript,GNU Affero General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74634,3601,3363,0,173.74,0,0,0,0,missing,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74464,6599,299,0,171.02,0,0,0,10,JavaScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73789,5155,504,0,172.32,0,0,0,10,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73680,25411,2656,0,170.74,0,0,0,3,Java,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73649,6189,736,0,173.92,0,0,0,7,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73380,2577,397,0,171.19,0,0,0,10,Go,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73252,8364,1423,0,232.4,0,0,0,6,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73218,9474,2105,0,226.46,0,0,0,0,missing,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72969,7577,384,0,170.7,0,0,0,2,TypeScript,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72843,10531,437,0,173.47,0,0,0,10,Python,GNU Affero General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72690,5473,211,0,171.03,0,0,0,8,TypeScript,GNU General Public License v3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72538,3972,251,0,175.8,0,0,0,7,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72503,8002,729,0,171.23,0,0,0,10,TypeScript,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72002,11835,1102,0,568.35,0,0,0,8,Python,Apache License 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71388,10498,576,0,610.67,0,0,0,0,Jupyter Notebook,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71103,6560,1440,0,369.71,0,0,0,10,missing,Creative Commons Zero v1.0 Universal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70815,8768,415,0,205.88,0,0,0,0,Python,MIT License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
